atoms,mode,threads,repeats,avg_ms,speedup,max_potential_diff,max_force_diff,max_virial_diff
64,serial,1,20,3.3298,1,0,0,0
64,serial,2,20,2.7041,1.23139,0,0,0
64,serial,4,20,2.27765,1.46195,0,0,0
64,atomic,1,20,3.30615,1.00715,0,0,3.55271e-15
64,atomic,2,20,2.57285,1.29421,0,8.69842e-16,1.42109e-14
64,atomic,4,20,2.08925,1.59378,0,1.62847e-15,2.84217e-14
64,thread_local,1,20,3.26245,1.02064,0,3.19189e-16,1.42109e-14
64,thread_local,2,20,1.8249,1.82465,0,8.88291e-16,3.19744e-14
64,thread_local,4,20,1.22585,2.71632,0,8.88178e-16,3.55271e-14
216,serial,1,20,10.3443,1,0,0,0
216,serial,2,20,8.25105,1.25369,0,0,0
216,serial,4,20,7.3411,1.40909,0,0,0
216,atomic,1,20,10.5334,0.982048,0,0,7.10543e-15
216,atomic,2,20,6.71915,1.53953,0,1.29221e-15,1.77636e-14
216,atomic,4,20,5.0961,2.02985,0,1.4023e-15,2.13163e-14
216,thread_local,1,20,10.175,1.01664,0,2.99673e-16,1.42109e-14
216,thread_local,2,20,5.4566,1.89574,0,1.15373e-15,2.84217e-14
216,thread_local,4,20,2.8917,3.57724,0,1.4843e-15,3.19744e-14
512,serial,1,20,30.1092,1,0,0,0
512,serial,2,20,23.1361,1.3014,0,0,0
512,serial,4,20,20.4003,1.47592,0,0,0
512,atomic,1,20,44.0341,0.683771,0,0,7.10543e-15
512,atomic,2,20,19.832,1.51822,0,1.77636e-15,2.13163e-14
512,atomic,4,20,16.7979,1.79245,0,1.4164e-15,2.84217e-14
512,thread_local,1,20,27.4264,1.09782,0,3.1225e-16,1.42109e-14
512,thread_local,2,20,16.0081,1.88088,0,1.83187e-15,2.4869e-14
512,thread_local,4,20,10.0029,3.01005,0,1.6185e-15,2.84217e-14
