atoms,composition,threads,repeats,descriptor_ms,descriptor_speedup,compute_ms,compute_speedup,max_descriptor_diff,max_potential_diff,max_force_diff,max_virial_diff
64,single,1,10,1.4195,1,3.2182,1,0,0,0,0
64,single,2,10,0.6804,2.08627,1.7403,1.84922,0,0,1.11022e-15,4.44089e-15
64,single,4,10,0.4199,3.38057,1.1272,2.85504,0,0,1.10502e-15,5.32907e-15
64,mixed,1,10,1.2691,1,3.247,1,0,0,0,0
64,mixed,2,10,0.6691,1.89673,1.7575,1.84751,0,0,8.60536e-16,1.77636e-14
64,mixed,4,10,0.428,2.96519,1.1031,2.94352,0,0,8.32667e-16,2.13163e-14
64,skewed,1,10,1.2723,1,3.2246,1,0,0,0,0
64,skewed,2,10,0.7341,1.73314,1.7897,1.80175,0,0,7.10543e-15,3.55271e-14
64,skewed,4,10,0.4152,3.06431,1.0878,2.96433,0,0,7.10543e-15,4.26326e-14
216,single,1,10,3.5527,1,10.0926,1,0,0,0,0
216,single,2,10,1.8931,1.87666,5.2385,1.92662,0,0,1.78392e-15,5.32907e-15
216,single,4,10,1.0389,3.41967,2.9467,3.42505,0,0,1.29844e-15,5.32907e-15
216,mixed,1,10,3.4916,1,10.2138,1,0,0,0,0
216,mixed,2,10,1.9058,1.83209,5.3196,1.92003,0,0,1.16067e-15,1.77636e-14
216,mixed,4,10,1.0555,3.30801,2.8997,3.52236,0,0,1.46695e-15,1.77636e-14
216,skewed,1,10,3.5803,1,10.2689,1,0,0,0,0
216,skewed,2,10,1.8879,1.89645,5.3104,1.93373,0,0,2.66454e-15,2.13163e-14
216,skewed,4,10,1.0323,3.46827,2.9059,3.53381,0,0,3.55271e-15,2.84217e-14
512,single,1,10,12.5353,1,28.4781,1,0,0,0,0
512,single,2,10,10.7151,1.16987,16.1219,1.76642,0,0,8.50015e-16,4.44089e-15
512,single,4,10,3.403,3.6836,7.7389,3.67986,0,0,1.08594e-15,4.44089e-15
512,mixed,1,10,12.7083,1,30.3105,1,0,0,0,0
512,mixed,2,10,6.3705,1.99487,14.3869,2.10681,0,0,1.61503e-15,2.13163e-14
512,mixed,4,10,3.2948,3.85708,7.5596,4.00954,0,0,1.4936e-15,2.13163e-14
512,skewed,1,10,12.4331,1,29.3249,1,0,0,0,0
512,skewed,2,10,6.3691,1.9521,14.5122,2.02071,0,0,5.32907e-15,2.84217e-14
512,skewed,4,10,3.4933,3.55913,7.6362,3.84025,0,0,7.10543e-15,3.55271e-14
